time,longitude,latitude,altitude_1,speed_1,time_1,music_1,conversation_1
1445456420,-86.7854899,36.1639742,151,0.4,0,0,H: Oh you can read it/M: if you go back and edit livetrekker/H: I'm gonna take a picture of this on livetrekker/A: it's really hard to read because its far away/M: * well maybe we can get a zoomed in picture as well so like do like this kind of picture and then have a thing where there is a little dot then a bubble that expands you know so you can see that church/A: yea yea/H: yea/A: Ok so you'll can see I have a good picture of the church and the sign at the same time with no cars/J: you can't really zoom in that far/M: alright ok alright/L: and if you guys want us to take a picture of you guys and all just let us know and we can take it on that if you want it/M: let's get a group selfie/J: of us?/A: yea true story well that's cool/J: I think we should/M: ok so cool first stop/J: (laughing)/H: let's read it!/A: I knew there would be a marker guys! I'm proud I was right/H: formerly located this side was first church baptist capital hill.. which we thought.. headquarters of the 1960s sit in movement led by reverend kelly miller smith strategy sessions non violent workshops mass meetings victory celebrations and administrative offices were here.. the well disciplined nashville sit ins served as a model for civil rights demonstrations throughout the south/A: Ahh ahh/H: that's uh.. this like thing is a perfect/M: what a great way to start/H: yea
1445456425,-86.7857032,36.1641173,153,0,5,0,
1445456430,-86.7856943,36.1641217,151,0,10,0,
1445456435,-86.7856645,36.1641213,152,0.4,15,0,
1445456440,-86.7856306,36.1641087,153,0,20,0,
1445456445,-86.7856306,36.1641087,153,0,25,0,
1445456450,-86.7856306,36.1641087,153,0,30,0,
1445456455,-86.7856306,36.1641087,153,0,35,0,
1445456460,-86.7856306,36.1641087,153,0,40,0,
1445456465,-86.7856306,36.1641087,153,0,45,0,
1445456470,-86.7855913,36.1641201,153,0.8,50,0,
1445456475,-86.7855913,36.1641201,153,0,55,0,
1445456480,-86.7855896,36.1641137,153,0.3,60,0,J: killin it so far/H: luck of the draw right there/A: proud of us proud of us/H: ok/M: alright so now we're headed back in this direction/H: k/M: and we're gonna stop at the next intersection right and take a picture of the rosa parks sign/H: * and take a picture of the rosa parks yea/H: cool/J: we have a whole entourage/A: so where do we turn next?/M: uhh we are going back the way we came in fact/A: why's it so hot/H: uhh do you wanna/A: yea but like/H: we are going exactly to the public library/M: like the next stop is the library but we are going to add a stop at that intersection/A: ok/M: umm for the rosa parks street name change/A: can I see? thanks/H: that little placard was like such a lucky gem/M: yea definitely/H: AND the fact that that church was still there! but its relocated but its ok its ok/A: right wait dumb phone why is it so hot/H: yea its really hot/M: not sure why it was so lovely yesterday/A: it really was/J: i still think this is pretty lovely/H: it is for nashville/M: yea/J: you guys are just dressed warm
1445456485,-86.7855757,36.1641127,152,0.4,65,0,
1445456490,-86.7855238,36.1641284,152,0,70,0,
1445456495,-86.785459,36.1640912,152,0.9,75,0,
1445456500,-86.7853939,36.16403,153,1.1,80,0,
1445456505,-86.7853404,36.1639793,154,0.6,85,0,
1445456510,-86.7853035,36.1639248,156,1.8,90,0,
1445456515,-86.7852811,36.1638644,156,0.4,95,0,
1445456520,-86.7852665,36.1638581,156,0.7,100,0,
1445456525,-86.7852266,36.1637909,155,0.8,105,0,
1445456530,-86.7851915,36.1637975,156,0.6,110,0,
1445456535,-86.7851486,36.1637296,157,1.8,115,0,
1445456540,-86.7851349,36.1636778,158,0.6,120,0,M: we're just not dressed well for it/H: if we had short sleeves and shorts on it would be/M: well this shirts pretty light but my pants are corduroy so/H: and yea oh yeah that's warm/A: * wait are those the new ones they're cute.. they look good/A: ok yeah so we're going back to church street/M: so what angle do we want to get at this rosa parks sign? to make it artistic/H: super good idea or great question/M: make sure to get the.. the sheraton/L: they know they can take video or pictures on the livetrekker/H: do we want to take video/A: do we need to take video/M: * umm I don't think so/A: * hey there's the rosa parks boulevard sign/H: yea/H: how about with the.. tree in the background/J: with the tree in the back I took a photo class in high school so I'll take this over I think/H: * you take the photo!/A: * do it josh! you got this/H: how do I do like a stop like
1445456545,-86.7851351,36.1635878,159,0.7,125,0,
1445456550,-86.7851174,36.163562,160,1.7,130,0,
1445456555,-86.7851071,36.1635127,160,0.9,135,0,
1445456560,-86.7850723,36.1634668,161,1.1,140,0,
1445456565,-86.7850254,36.1634078,161,1.3,145,0,
1445456570,-86.7849841,36.1633456,161,0.6,150,0,
1445456575,-86.7849673,36.1633211,161,0.7,155,0,
1445456580,-86.7849398,36.163261,162,0.4,160,0,
1445456585,-86.784925,36.1632188,162,2.1,165,0,
1445456590,-86.7849032,36.1631766,163,1.5,170,0,
1445456595,-86.7848571,36.1630925,163,1.3,175,0,
1445456600,-86.7848214,36.1630489,163,1,180,0,H: is there a way that I can on livetrekker like indicate like x like point or no/A: umm/M: umm i don't think so i think we can add that online probably/H: mmk/A: yea that makes sense/M: so I think for now we can just get the/A: i mean you can add text and say something like stop number one or whatever/H: why don't you just/H: jake why don't you try to take it on my phone since it's livetrekker and then we don't have to go back and do any extra/M: yea/J: ok I was I was joking when I said that but I will take the photos/H: * no you're taking it! you volunteered yourself/A: (laughing) well we all took you very seriously/M: well if you took a photography class you're definitely the most qualified for this task/H: try to get that guy in it/J: that guy it's a little too late I'm sorry i messed that one up.. alright I guess this this is where we're going from right here/A: it's really warm!/M: yea it's pretty warm/L: well this summer we did it and it was a one hundred degree day/A: oh gross!/L: it was miserable/A: that would be painful/L: her group didn't find the ice cream our group found the ice cream (laughing)/A: (laughing) that's a good thing/M: I would not hate getting some ice cream at some point team/A: nope
1445456605,-86.7847873,36.1630069,164,1,185,0,
1445456610,-86.7847752,36.1629754,164,0.8,190,0,
1445456615,-86.7847693,36.1629324,164,0.3,195,0,
1445456620,-86.7847693,36.1629324,164,0,200,0,
1445456625,-86.7847693,36.1629324,164,0,205,0,
1445456630,-86.7847693,36.1629324,164,0,210,0,
1445456635,-86.7847727,36.1629388,164,0.4,215,0,
1445456640,-86.7847727,36.1629388,164,0,220,0,
1445456645,-86.7847727,36.1629388,164,0,225,0,
1445456650,-86.7847727,36.1629388,164,0,230,0,
1445456655,-86.7847733,36.1629337,164,0.2,235,0,
1445456660,-86.7847787,36.162939,164,0,240,0,J: there we go/A: last week when we were driving back/M: is the woolworths still like a thing cuz I know there's a woolworths in Ashville north carolina that is not operational as a woolworths but they turned it into an art gallery which is pretty cool.. and they've got a little bit of the lunch counter still there you can order a milkshake/J: let's uh let's cross the street/A: so we have a photo of the rosa parks sign and that's gonna be stop two?/H: yea/A: k/L: where is this?/M: ashville north carolina/L: oh/L: the walgreens is still there but it's like totally modernized/M: like an actual walgreens that we think of/L: right no lunch counter/H: there is a walgreens/L: there is a walgreens still there there's one it's like (inaudible)/H: it's funny that the walgreens/M: should we have crossed the street? at that intersection/A: yep/H: yea/A: yep (laughing)/M: we might want to edit that path on livetrekker so we don't encourage our peers to jaywalk/L: yea (inaudible) the next group run through traffic
1445456665,-86.7847785,36.1629222,164,1.1,245,0,
1445456670,-86.7847572,36.1628764,164,1.9,250,0,
1445456675,-86.7847585,36.1628448,164,0.8,255,0,
1445456680,-86.7847053,36.1628061,164,1.1,260,0,
1445456685,-86.7846679,36.162773,164,1.2,265,0,
1445456690,-86.7846564,36.1627634,164,1.4,270,0,
1445456695,-86.7845636,36.1626853,164,0.8,275,0,
1445456700,-86.7844652,36.1626439,164,0.8,280,0,
1445456705,-86.7844501,36.16261,164,0.6,285,0,
1445456710,-86.78442,36.1625998,164,0.4,290,0,
1445456715,-86.7844145,36.1625454,163,1.1,295,0,
1445456720,-86.7844177,36.1625306,163,0.7,300,0,J: I think THE biggest cultural difference I've found between the north and the south is the way you cross a street/A: is what?/J: * is the way you cross the street/H: * you mean that in the south they actually use intersections and in the north and in like/J: it's just a free for all/A: I've gotten more emails in this last hour than like the last week/H: that is SO true like in new york it's like you just go/J: you just g you go/H: if there's a slight break in the action it's like/J: yea.. a car could be coming at you and it's ok/H: yea exactly/H: ok horn/J: (laughing)/H: jees that's enough/H: we turn here?/M: correct/J: yea
1445456725,-86.7844109,36.1624634,163,1.4,305,0,
1445456730,-86.7843517,36.1623823,163,2.1,310,0,
1445456735,-86.7843406,36.1623703,163,1,315,0,
1445456740,-86.7842763,36.1622902,162,0.6,320,0,
1445456745,-86.7842169,36.1622983,162,0.7,325,0,
1445456750,-86.7841923,36.1622734,161,1.2,330,0,
1445456755,-86.7841466,36.1621916,161,0.9,335,0,
1445456760,-86.7841039,36.1621176,160,0.9,340,0,
1445456765,-86.784061,36.1620868,160,1.2,345,0,
1445456770,-86.7840176,36.1620404,160,1.4,350,0,
1445456775,-86.7839943,36.1620003,159,1.4,355,0,
1445456780,-86.7839428,36.1619282,159,1,360,0,M: so and along the way here we're maybe have a little pop ups like this was maybe a path they would have taken to/H: yea/M: the sit in movement and marches and stuff/A: here should we go ahead and across?/J: do we wanna cross?/A: we might as well/J: * where like what's the landmark that we're looking for now/M: * yea I don't like walking under that kind of stuff/A: the library right? which is on this side of the street/H: * the library right?/J: the library yea/M: yea we can cross/H: ok/A: yea it's a short road we're fine/J: it's a short road (laughing)/H: suggestion all right/A: we're fine/A: what exactly are we doing at the library what are we talking about there/H: just the picture we just needed an example or like somewhere to stop.. in between like the church and the sit in locations/A: * oh that's right.. ok perfect
1445456785,-86.7839162,36.1618706,158,0.7,365,0,
1445456790,-86.7838918,36.1618329,158,1.1,370,0,
1445456795,-86.7838447,36.1617708,158,1.3,375,0,
1445456800,-86.7838156,36.1617309,157,0,380,0,
1445456805,-86.7838045,36.1617217,157,0,385,0,
1445456810,-86.7837732,36.1616837,157,1.2,390,0,
1445456815,-86.7837035,36.1616337,157,0.7,395,0,
1445456820,-86.78367,36.161649,157,0.9,400,0,
1445456825,-86.7836609,36.1616313,157,0.3,405,0,
1445456830,-86.7836577,36.1616396,157,0.9,410,0,
1445456835,-86.783614,36.1616932,157,0.5,415,0,
1445456840,-86.7835548,36.1616819,158,0.7,420,0,H: so in the library we had that picture of um I took a picture of the picture whoops um..this..it says demonstration on church street at present site of nashville public library it's just like a protest demonstration/A: * perfect/H: so it's not like it's just like/A: ok/H: this is what used to be here whatever/H: yea document our brief crossing of the streeet..it's really funny/A: (laughing)/M: is livetrekker go/H: you can see like right where we crossed/A: (laughing)/M: can I have the map/A: yep..next we are going up capitol avenue
1445456845,-86.7834216,36.161696,158,1,425,0,
1445456850,-86.7833159,36.1617667,159,1.2,430,0,
1445456855,-86.7832448,36.1618361,159,1,435,0,
1445456860,-86.7832036,36.1618605,159,1,440,0,
1445456865,-86.7831402,36.1618657,159,0.6,445,0,
1445456870,-86.7830901,36.1618836,158,0.7,450,0,
1445456875,-86.7830403,36.1619074,158,1.2,455,0,
1445456880,-86.7830071,36.1619587,158,1.3,460,0,
1445456885,-86.7829251,36.161984,158,1.2,465,0,
1445456890,-86.7828649,36.1620064,157,1.1,470,0,
1445456895,-86.7828211,36.1619734,157,1.9,475,0,
1445456900,-86.7827225,36.1619921,157,1,480,0,A: which is right there.. so how do we want to frame this picture?/H: um well ok lets look at the other picture/M: yea/J: do we want to cross?/M: yea let's go ahead and cross/H: so this photo is..it's kind of hard to tell oh do you have the map?/M: yea/H: so look on the look on where nashville public library is and look where candyLAND is/H: I think we'll have to stop/H: candyland/M: yep/H: that's right where this place is/A: so like right right here?/H: it's on/A: 7th avenue north and the library/M: yea it's right here right at this corner
1445456905,-86.7827059,36.1620198,156,1,485,0,
1445456910,-86.7826785,36.1620592,157,0,490,0,
1445456915,-86.7826421,36.1620946,157,1.1,495,0,
1445456920,-86.7825619,36.1621223,157,1.8,500,0,
1445456925,-86.7825155,36.1621539,157,1.3,505,0,
1445456930,-86.7824554,36.1621706,157,1,510,0,
1445456935,-86.7824355,36.1621844,157,1.1,515,0,
1445456940,-86.7824055,36.1622726,157,0,520,0,
1445456945,-86.7824612,36.162303,157,0.8,540,0,H: so here/M: yea/H: so it's this building like its/M: * yea so why don't we step back/H: * so maybe we should/M: you could even we could even cross the street and take a picture of that window/H: ok let's do that/M: does that tell a story? that image like/A: * juxtaposing the two/H: * if you put them side by side/M: yea yea cool/H: I think so/M: does that work?/A: so do we need to cross the street?/M: yea we need to/H: * yea just one person does/J: * just one person/M: * yea we can just send one person across the street/A: well we are going to need to to get over to capitol anyway/M: yea I don't like jaywalking/J: are we?/M: so Jake why don't you/J: are we.. are we making a left yea I'll go take the picture/A: (laughing)/M: yea go ahead and snag that and go take a shot and while he's doing that guys we should walk this way so we're not in the picture/A: oh yeah/H: oh we could be in the picture though.. like protesting/A: huh that's interesting they still have (inaudible) on the name of the/J: we could do a panarama/M: they sell what?
1445456985,-86.782472,36.1623425,157,0.3,565,0,
1445456990,-86.7824711,36.1623209,157,0,570,0,
1445456995,-86.7824711,36.1623209,157,0,575,0,
1445457000,-86.7824711,36.1623209,157,0,580,0,
1445457005,-86.7824711,36.1623209,157,0,585,0,
1445457010,-86.78249,36.1623109,157,0.5,590,0,
1445457015,-86.782475,36.1623092,157,0,595,0,
1445457020,-86.7824565,36.1623002,157,0.4,600,0,L: he said you could do a panorama/J: anyone here me?/H: what?/H: oh is that what he asked?/M: umm not particularly but sure/A: up to yall you guys looked at the picture I'm not sure/H: wait what's castKnott is that what that street used to be called?/A: castKnott was a department store /H: oh/A: that started in here and kinda was in southern kentucky and middle tennesee.. but I just think it's cool that the name is still on the building/H: * that's cool.. yea that's cool/A: it's interesting/M: it's not super relevant to our tour but it is very interesting/A: no it's only relevant because my grandma worked at casranot in bowling green kentucky for a number of years/M: * oh yeah/A: that's the only reason I know what it is/M: that's pretty cool.. have you watched the (inaudible)?/H: * its cool though cuz it reflects the/A: no/M: you would like it/A: I bet/M: It's a historical fiction tv show thing about a department store in..it's similar to the UK/A: * oh cool..interesting/A: ok we're going up.. up here right now/A: how far are we going on capital?
1445457025,-86.7824236,36.1622657,158,0.2,605,0,
1445457030,-86.7824048,36.1622445,158,0,610,0,
1445457035,-86.782407,36.1622812,158,0.7,615,0,
1445457040,-86.7824101,36.1623007,157,0.6,620,0,
1445457045,-86.7823816,36.1622829,157,0.5,625,0,
1445457050,-86.7823737,36.1622642,158,0.3,630,0,
1445457055,-86.7824252,36.1622985,157,0.4,635,0,
1445457060,-86.7824296,36.1623018,157,0,640,0,
1445457065,-86.7824248,36.1622879,157,0.3,645,0,
1445457070,-86.782362,36.1622216,157,1.8,650,0,
1445457075,-86.7821735,36.1622321,157,1.9,655,0,
1445457080,-86.7820973,36.1622878,157,0.7,660,0,M: umm not far I see a fence that might indicate that our ally we were going to use is now blocked/H: aww dang/A: yea that'd be a bummer..maybe not/M: this is where we are.. and here is where we are right now/A: right/M: here between here and union I think that's union like I think that this is our ally see that it's blocked with the fence right now/H: we're gonna cross so/M: yea we should just go I/A: we might as well look and maybe not take the livetrekker with us..just in case cuz we don't want it to double back three times/M: * yea that's a good idea yea/H: well let's cross we need a/M: we can get jake's opinion to..ok so we were going to go through this ally we are pretty sure that the ally is that thing with the fence in front of it like to get to/J: ohh right ok
1445457085,-86.7821326,36.1623748,157,0.8,665,0,
1445457090,-86.7821693,36.1624337,157,0.3,670,0,
1445457095,-86.7821693,36.1624337,158,0,675,0,
1445457100,-86.7821591,36.1624462,157,0.3,680,0,
1445457105,-86.7821259,36.1623939,157,1.8,685,0,
1445457110,-86.7820986,36.1623548,156,0.6,690,0,
1445457115,-86.7821111,36.1623765,157,0.3,695,0,
1445457120,-86.7821072,36.1624055,157,0.6,700,0,
1445457125,-86.7821464,36.1623936,157,0,705,0,
1445457130,-86.7821703,36.1624231,157,0.9,710,0,
1445457135,-86.7821531,36.162422,157,0.4,715,0,
1445457140,-86.782102,36.1624188,157,0.2,720,0,H: unless its oh/A: I can't tell/J: I don't I don't think it is/A: it could be a little further up/J: I think it might be a little further up/M: ok we can walk there.. and if we can delete parts of the livetrekker thing to so it's not a big to/A: * yea let's go across the street and give it a shot/H: we can?/M: yea we can delete points on it/H: * really?.. stinky stinky..that's cool I didn't know that/A: * we can what now?/M: yea cuz a couple times I was sitting in my room it would think I had gone all over creation yea/H: * oh that's right you totally me about that or you told the class you told me about that/A: oh yea that's right you can delete points I see/J: I mean this this map is from sixty years ago there is a very good chance that ally's not there I didn't even think about that it's probably not there/H: * right (laughing)/A: well we could just/M: * looks like there is a little gap between the buildings right there?/J: yea/A: we are going to send them some really sketchy places that's fine.. also this is gross/M: yea I don't like that/H: uhh according to google like this
1445457145,-86.7821153,36.1624309,157,0,725,0,
1445457150,-86.7821679,36.1624224,156,0,730,0,
1445457155,-86.7821217,36.1624345,156,0.4,735,0,
1445457160,-86.7820843,36.1624488,156,0.9,740,0,
1445457165,-86.7821166,36.1624954,156,1.4,745,0,
1445457170,-86.7821711,36.1625526,157,0.9,750,0,
1445457175,-86.7822038,36.1625841,157,0.9,755,0,
1445457180,-86.7822203,36.1626541,158,1.3,760,0,
1445457185,-86.7821927,36.1626933,158,0.7,765,0,
1445457190,-86.7822357,36.162731,158,0.7,770,0,
1445457195,-86.7822959,36.1627553,158,0.5,775,0,
1445457200,-86.7823412,36.1627864,159,0.9,780,0,M: oh look/J: yea/M: yea/J: does it go all the way through?/A: yesss! guys the ally it's a real thing/H: DOWN ally!/A: yess!/H: yea sixty year old plus ally/M: it's even indicated as a place people can walk..alright/H: does it/A: I love how excited we just got about an Ally..that happened (laughing).. like/J: (laughing)/H: is there any historical significance about this ally where we should stop and?/M: uh there's this/A: umm wait a second Mae what what was the point of this road like why were we here/M: oh it's not right here it's on the other side /J: are we stopping?/A: it was/M: yea it's right there/A: oh ok perfect/H: that was you're thing right/M: * where his oral history/A: * yea/J: yea it was my thing it was my thing/A: that was on sixth avenue north..so that should be like/M: i wonder if that's now caesars italian restaurant/A: that's kind of what it looks like to be honest/J: please use front door/H: oh
1445457205,-86.7823878,36.1628366,159,1.1,785,0,
1445457210,-86.7824429,36.1629025,159,0.6,790,0,
1445457215,-86.7824861,36.1629741,159,1.2,795,0,
1445457220,-86.7825262,36.1629949,160,0.8,800,0,
1445457225,-86.7825543,36.1629949,160,1.3,805,0,
1445457230,-86.7825526,36.1629474,160,0.8,810,0,
1445457235,-86.782517,36.1629285,160,0.3,815,0,
1445457240,-86.7825068,36.1629294,160,0,820,0,
1445457245,-86.7824608,36.1629484,160,0.4,825,0,
1445457250,-86.7824157,36.1629675,160,1,830,0,
1445457255,-86.7823411,36.1630116,160,0.9,835,0,
1445457260,-86.7822714,36.1630654,159,0.9,840,0,A: it smells like poop/M: uh it smells amazing I just want some fried chicken so bad right now..some fried pickles/M: * I'm so hungry/J: i could definitely I could go for this..stop the tour here/A: yea this is where it was.. if the map is accurate/M: hey wait we can take a picture of this sign with no public restrooms/J: here/M: that's kind of funny actually/A: (laughing) that is funny/H: what is it?/M: they've got a sign about no public restrooms/M: wow it smells so good/H: so it's this this is the restaurant/M: yea/A: yea this is where it was cuz it was right on the other side of the ally/J: I mean I think so yea/M: yea/A: that's what it looks like/J: see if anything's the same/A: hmm it's so funny that still exists!/H: was it 221..i guess the address might have changed/J: I mean it makes sense that it would still be a restaurant/A: yea it was 221/H: they said what? it says it's still a restaurant/L: what still exists?/M: so umm jake one of his oral histories was about a sit in at a restaurant that was right at this location and it was different name different owners/A: * it was 221 so this is you can take a picture of the number yea/J: * what?.. it makes sense that it would still be a restaurant so they would try and use the space in the same way/L: * oh
1445457265,-86.7822113,36.1631339,159,1.3,845,0,
1445457270,-86.7821145,36.1632273,159,1.3,850,0,
