Start,End,Code
553,568,Green group
1039,1087,Near Swivl
1145,1152,Center
1156,1187,Back wall
1722,1731,Pink
1817,1827,Near Swivl
1837,1934,Blue group
1959,2050,Back wall
2053,2063,Near Swivl
2069,2077,Pink
2085,2143,Near Swivl
2156,2169,Blue group
3032,3068,Blue group
3163,3264,Back wall
3277,3337,Door group
3340,3352,Near Swivl
3370,3388,Near Swivl
3393,3403,Blue group
3437,3478,Near Swivl
3503,3532,Green group
3537,3605,Back wall
3609,3650,Near Swivl
3658,3679,Pink
3684,3688,Blue group
3693,3711,Green group
3908,3926,Green group
3943,3967,Pink
4025,4073,Back wall